From	To	Species	Gene Name
ENSBTAG00000044097	KLF7	Bos taurus	KLF transcription factor 7(KLF7)
ENSBTAG00000044099	ZSWIM7	Bos taurus	zinc finger SWIM-type containing 7(ZSWIM7)
ENSBTAG00000044091	PTK6	Bos taurus	protein tyrosine kinase 6(PTK6)
ENSBTAG00000044092	IQCK	Bos taurus	IQ motif containing K(IQCK)
ENSBTAG00000044082	MARCHF1	Bos taurus	membrane associated ring-CH-type finger 1(MARCHF1)
ENSBTAG00000044083	LIMK1	Bos taurus	LIM domain kinase 1(LIMK1)
ENSBTAG00000044080	CPA6	Bos taurus	carboxypeptidase A6(CPA6)
ENSBTAG00000032097	FBXO21	Bos taurus	F-box protein 21(FBXO21)
ENSBTAG00000032093	SPINK4	Bos taurus	serine peptidase inhibitor Kazal type 4(SPINK4)
ENSBTAG00000032092	CDH11	Bos taurus	cadherin 11(CDH11)
ENSBTAG00000044079	SMIM4	Bos taurus	small integral membrane protein 4(SMIM4)
ENSBTAG00000044075	SRPRB	Bos taurus	SRP receptor subunit beta(SRPRB)
ENSBTAG00000044077	POLR3G	Bos taurus	RNA polymerase III subunit G(POLR3G)
ENSBTAG00000044078	TESC	Bos taurus	tescalcin(TESC)
ENSBTAG00000044071	HRH2	Bos taurus	histamine receptor H2(HRH2)
ENSBTAG00000044073	CD248	Bos taurus	CD248 molecule(CD248)
ENSBTAG00000044074	MLLT10	Bos taurus	MLLT10 histone lysine methyltransferase DOT1L cofactor(MLLT10)
ENSBTAG00000044070	SNX30	Bos taurus	sorting nexin family member 30(SNX30)
ENSBTAG00000032087	ATXN2L	Bos taurus	ataxin 2 like(ATXN2L)
ENSBTAG00000032084	GPR183	Bos taurus	G protein-coupled receptor 183(GPR183)
ENSBTAG00000032083	DHX33	Bos taurus	DEAH-box helicase 33(DHX33)
ENSBTAG00000044068	VWC2	Bos taurus	von Willebrand factor C domain containing 2(VWC2)
ENSBTAG00000020099	STMN2	Bos taurus	stathmin 2(STMN2)
ENSBTAG00000044064	RNF144A	Bos taurus	ring finger protein 144A(RNF144A)
ENSBTAG00000020097	PERP	Bos taurus	p53 apoptosis effector related to PMP22(PERP)
ENSBTAG00000045396	LOC112441706	Bos taurus	U6 spliceosomal RNA(LOC112441706)
ENSBTAG00000044065	PITPNC1	Bos taurus	phosphatidylinositol transfer protein cytoplasmic 1(PITPNC1)
ENSBTAG00000020095	MS4A3	Bos taurus	membrane spanning 4-domains A3(MS4A3)
ENSBTAG00000045397	LOC112447928	Bos taurus	small nucleolar RNA SNORA40(LOC112447928)
ENSBTAG00000020096	MS4A2	Bos taurus	membrane spanning 4-domains A2(MS4A2)
ENSBTAG00000044067	PLAC8L1	Bos taurus	PLAC8 like 1(PLAC8L1)
ENSBTAG00000020093	CUL4A	Bos taurus	cullin 4A(CUL4A)
ENSBTAG00000044061	FAXC	Bos taurus	failed axon connections homolog, metaxin like GST domain containing(FAXC)
ENSBTAG00000044062	RBMS3	Bos taurus	RNA binding motif single stranded interacting protein 3(RBMS3)
ENSBTAG00000044063	B4GALT6	Bos taurus	beta-1,4-galactosyltransferase 6(B4GALT6)
ENSBTAG00000020090	EPHX3	Bos taurus	epoxide hydrolase 3(EPHX3)
ENSBTAG00000032089	CDC42EP2	Bos taurus	CDC42 effector protein 2(CDC42EP2)
