#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	YP_209205.1	chrM	+	3100	4056	3100	4056	1	3100,	4056,	0	ND1	cmpl	cmpl	0,
585	YP_209206.1	chrM	+	4265	5307	4265	5307	1	4265,	5307,	0	ND2	cmpl	cmpl	0,
585	YP_209207.1	chrM	+	5686	7231	5686	7231	1	5686,	7231,	0	COX1	cmpl	cmpl	0,
585	YP_209208.1	chrM	+	7373	8057	7373	8057	1	7373,	8057,	0	COX2	cmpl	cmpl	0,
585	YP_209209.1	chrM	+	8128	8329	8128	8329	1	8128,	8329,	0	ATP8	cmpl	cmpl	0,
585	YP_209210.1	chrM	+	8289	8970	8289	8970	1	8289,	8970,	0	ATP6	cmpl	cmpl	0,
585	YP_209211.1	chrM	+	8969	9750	8969	9750	1	8969,	9750,	0	COX3	cmpl	cmpl	0,
585	YP_209212.2	chrM	+	9822	10168	9822	10168	1	9822,	10168,	0	ND3	cmpl	cmpl	0,
585	YP_209213.1	chrM	+	10238	10535	10238	10535	1	10238,	10535,	0	ND4L	cmpl	cmpl	0,
585	YP_209214.1	chrM	+	10528	11906	10528	11906	1	10528,	11906,	0	ND4	cmpl	cmpl	0,
585	YP_209215.1	chrM	+	12108	13929	12108	13929	1	12108,	13929,	0	ND5	cmpl	cmpl	0,
585	YP_209216.1	chrM	-	13912	14440	13912	14440	1	13912,	14440,	0	ND6	cmpl	cmpl	0,
585	YP_209217.1	chrM	+	14513	15653	14513	15653	1	14513,	15653,	0	CYTB	cmpl	cmpl	0,
